Open,High,Low,Volume,Close
250.020004,258.350006,248.5,10833900,255.339996
256.799988,257.209991,245.100006,10131400,247.059998
246.940002,250.600006,244.199997,6176400,244.839996
242,243.679993,236.940002,6711400,241.979996
239.75,241.990005,236.020004,7008300,239.520004
232.009995,232.470001,224.5,10834800,227.009995
229.300003,234.5,228,7252400,232.309998
229.320007,232.440002,225.25,7296000,231.949997
229.490005,231,226.5,7483300,228.330002
221.960007,222.240005,208.919998,17786700,211.029999
202.800003,206,195.25,20526200,205.360001
197.759995,207.399994,196.039993,18003900,205.080002
199.100006,203.940002,191.779999,18685200,192.729996
194.339996,199.470001,186.220001,26547100,195.490005
199.830002,199.979996,188.75,14136600,190.630005
191.199997,195,187.850006,10312900,188.699997
187.100006,192.389999,185.039993,11968600,189.860001
188.75,192.259995,187.020004,7926500,188.220001
185.100006,189.919998,184.100006,10406700,185.160004
185.509995,186.679993,176.990005,13064400,178.970001
181.100006,193.979996,179.610001,13807500,193.600006
198.679993,201.279999,191.850006,13510800,196.589996
204.440002,211,201.800003,20242200,205.949997
205,210.839996,203.5,16003500,204.5
210.25,216.940002,209.009995,10585000,212.880005
219.139999,220.899994,213.5,11653500,217.100006
222.949997,223.380005,209,15197500,209.259995
210.380005,214.899994,207.509995,8168300,213.910004
211.25,216.649994,210.399994,7433400,214.919998
215.479996,227,214.270004,12316800,225.029999
228.720001,234.740005,222.559998,12715800,224.740005
225.110001,227.770004,221.059998,6575100,226.429993
223,226.899994,216.350006,11863500,219.619995
216.220001,222.179993,215.5,8202100,221.860001
223.240005,225.860001,221.020004,5750800,223.639999
224.389999,225.339996,219.490005,6182100,219.759995
220.309998,227.229996,218.100006,8507200,219.270004
219.449997,222.899994,217.350006,6339700,222.839996
220.990005,225.169998,220.800003,6851400,223.460007
230.210007,233.100006,226.279999,8238000,227.169998
228.889999,229.149994,222.220001,9259000,224.550003
239.389999,241.570007,234.509995,14201100,234.899994
234.570007,235.449997,230.800003,7065700,233.100006
231.240005,232.25,228.660004,5880500,230.339996
228.970001,231,227.279999,6190800,230.059998
234.149994,238.940002,233.139999,9145700,238.919998
238.139999,241.5,235.800003,7514400,238.600006
239.75,245.380005,239.710007,9200500,245.080002
248,254.419998,244.860001,11000100,253.5
249.300003,253.529999,247.929993,8149000,252.380005
255.669998,258.309998,253.350006,9764700,254.860001
255.050003,255.75,251.889999,4764500,253.539993
255.690002,259.959991,254.619995,7048400,258.179993
258.75,262.149994,254.190002,6842400,255.679993
256.709991,260.480011,254.5,5023100,260.170013
259.170013,266.070007,258.160004,11072800,264.880005
233.5,234.5,225.550003,22418300,228.820007
226.919998,230.259995,222.25,10027700,228.039993
227.089996,235.940002,226.029999,9273300,235.770004
232.899994,243.360001,232.179993,8109000,242.259995
243,246.679993,236.649994,9178200,241.610001
242.649994,244.509995,231.770004,8259500,233.850006
231.350006,236.270004,229.229996,6136500,234.339996
229.600006,231.369995,225.779999,7028300,228.320007
231.880005,232.5,225.75,5564200,230.75
226.5,233.570007,225.800003,4776500,233.419998
234.449997,239.800003,232.649994,5274300,238.300003
236.050003,238.960007,233.809998,3898200,235.009995
232.990005,235.770004,228.75,4663900,229.009995
228.809998,236,227.550003,4848100,235
231.210007,231.5,216.690002,9562600,219.619995
220.860001,221.559998,211.550003,8159600,215.639999
216.660004,222.240005,216.020004,5098500,219.940002
224.210007,227.830002,221.699997,5309600,226.830002
227.619995,229.089996,224.539993,4125200,225.860001
222.009995,223.220001,217.600006,7794300,220.830002
222.800003,225.399994,218.220001,6559000,222.149994
219.970001,221.169998,211,8538600,211.399994
